job_id,role_name,company_name,location,link
10,Desenvolvedor Python,Netvagas,"Guará, DF",https://br.indeed.com/rc/clk?jk=6899586a6c475df4&bb=cdNytVHAqw7-mr9M0jPQnfbrN4BWJmdFmfATMTXCm_nBHLYqn23hIUoH2eA7UeAB5-0Hk6dkOU5fF-Kyk_3b-pz-i-GS5N87VXBJ6kuMt1c%3D&xkcb=SoB467M3EEV6rTwnBJ0BbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
11,DevOps - CloudOps Engineer - Remote Work,BairesDev,"Home office in Recife, PE",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfEGkshao4EhrCCf7LYqKO8VNtf9vkQrewuI3DmTR_-K09aYJ3Y7cb2ftg554nJs8HppoYa9nN8l8HURipquhFQ6k7PwRKIk7_dxM2ZIR-5cVxi1dfwAoAEMsT1VQCaLdNhYqANg5xo0ynRzCUhE2rzkpUEBssD8ZCPcdTJ1bWpaHgOhngXHg_XQCE_1IACEz2tOx6lNulIjoqxCZWGU3QyScE2_xEkrMeqEMT8ynPOKtZVxLKUlasA_Z-ouj_OjIdPBze_kB6GL4CKStZYPnRBIs4OknaekD9P5bpCK0hDBFhliNg7CtO53f1uPYcZ7qOpmpVfIRpEO-GvysezTL6LuviP62pHOXSL5dftOHIMtlDyg2wwcRAy_ZDpYOta1Nwxa3fuI8tx3qUmdwTD1qMbM_d98EuhjwDLrtwAhXWiCgGaMda0hQybCppC6Tc5ZUxbHqDlZHH6ImrFgS42Zvl_A90jQGNJGkHLbcucg_D81W1j76lIGOuMndx_f40yxz5yuZIbuuN8qARhom6IKZ57YmoEj2RpGpqcbrqz2bxGvrMkEoNzn9Cmc9s8hAXR2tUbPONUoJLRO0ZS9N7jWkgbeAOfkwPzPk6njAB0PiI7R1lj-zV7Zi4LONvB1pP7CvuK1aatwImLDbavBZyMISNXUFUP5cEBAkP4cDbJpA4K-djb_Wub96JFE7og22Zwr4Onca-R-vPog==&xkcb=SoA46_M3EEV6rTwnBJ0AbzkdCdPP&camk=f416UQcMBpBh4BbPTt0PyA==&p=11&fvj=0&vjs=3
12,Software Development Engineer in Test - Remote Work,BairesDev,"Home office in Porto Alegre, RS",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfEGkshao4EhrCCf7LYqKO8VNtf9vkQrewuI3DmTR_-K09aYJ3Y7cb8Fh_cyFvVtT47cLDLQe09WgJ3q6xhpVg1iCb6ISwENz3QjGvZ7zvfM64LDtv6lyEB2IsyB85K7kPeyqVtr8y79rYimYvRQA4wdIu5ju5-VrD8cn8V7ULM5MTOjhSQ7Tmo__Lae29A2BZG0oh9Bt1Xz7W-9mVEZyRmIu7mOJX5SCcgvbptw_u0TmeYOVx5TrXVcC8zpXHfTk1Aol6-ftGpbG6WTX7NMmG4MowKP4moMEuEvw3q3mYLQwKbF7io_huIgXaSGrY-zlUT2GHoQ14oNV67xO15ybp5WOKryVZ5l5pY7OmUc7v-NaVLV4XpObFX-nK5CLazdajbmodG6lsoeK_vvgHVEe165Exh8pLyn8yLuXNto1bmG5TYDCnhCTYvYdIY-1GS_RQnd1wMALX4Yt9dsMYhCDPZJYOTsYsr45UrDXDacM-xiQFz8ZdszlTPL8WQNGSQcDUdePXhiQknFI25UVttenVnhoFRRpyRfboh306bd7-sStQ4PyQOtk9cdOYQqlFk0u8WM67gLPWGtQ0waADdMyia4ZQJ9IfhWhqKBUJVAHaI1zBmTJWq8ndLjTti4xgv7ugHIb26HjgM-PUm2AJxODO-onvpFeldGnviFDwBOzT7b8RvsMxt-UOu1_pDBy2OnGLlHkVSjX8jw==&xkcb=SoC26_M3EEV6rTwnBJ0HbzkdCdPP&camk=f416UQcMBpBd6gc1QbWLcg==&p=12&fvj=0&vjs=3
13,[MGI] Desenvolvedor Pleno - Python,First Decision,,https://br.indeed.com/rc/clk?jk=036d07d54a84e263&bb=cdNytVHAqw7-mr9M0jPQnaq1jGD6l3yyF3XPrJ2YzjN_JgRFeESUnkGzKXSBgBuAMSZxbim9Pa95XT-8dAJn9ne5vA3wSsy5B2TlA8qs-WM%3D&xkcb=SoD267M3EEV6rTwnBJ0GbzkdCdPP&fccid=79b0e004e2699bee&vjs=3
14,DESENVOLVEDOR PYTHON - BELO HORIZONTE,OEmprego,"Belo Horizonte, MG",https://br.indeed.com/rc/clk?jk=acdf082c0a5257b9&bb=cdNytVHAqw7-mr9M0jPQnf9ZG8NVEAAaf-Hnv4-FVszuCfG0L7s_r2jqq3ygw1n8tonJvgL7_rsSchK83Nvb_k7-fbAqij5CovP3yX6Xmbs%3D&xkcb=SoBr67M3EEV6rTwnBJ0FbzkdCdPP&fccid=919b31f0a22ef58e&vjs=3
15,Estágio TI/DEV Full Stack Python.,Educa Estudos de Mercado Ltda.,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=07211f9623443351&bb=RjOpfypjXRWIAUZMJAwIwab6tgwk3daqGX1loshPnx98H34_g9_zGMz6QAhLdUGZT_io9260Y1Fsn5nquA-3-c2Ug0zd_PGX8puJC8hI97Q%3D&xkcb=SoBZ67M3EEV3NGWbAp0LbzkdCdPP&fccid=f422cddbec8c5e88&cmp=Educa-Estudos-de-Mercado-Ltda.&ti=Desenvolvedor+Pleno&vjs=3
16,Desenvolver (a) Python - Scraper,Shopee,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=159bf350bb3d7813&bb=RjOpfypjXRWIAUZMJAwIwTL979Ds51uZT-hkuwT9F1JQRL2oBuDJFq9sbGPyak7w3ZJWTSVaMa78hNdGrXxbj6AdJHtRb9xYGoE2d-LWvMQ%3D&xkcb=SoDt67M3EEV3NGWbAp0KbzkdCdPP&fccid=0b476c4a7add47fe&vjs=3
17,Python Developer / 100% Remote / USD payment / English...,Bloom Talent Partners,"Home office in Lauro de Freitas, BA",https://br.indeed.com/rc/clk?jk=89bb4a6997baa6f5&bb=RjOpfypjXRWIAUZMJAwIwQwMUU-nIM1Av61YCqxdrKp0FELP_y4gICC1qpKWfz6ukLfNUwnPqjfLF5va8ZhISqxBMDzHSGzTPsCgxV_wjuo%3D&xkcb=SoBw67M3EEV3NGWbAp0JbzkdCdPP&fccid=f5a8fac000367732&vjs=3
18,Desenvolvedor(a) Backend Python,Omie,,https://br.indeed.com/rc/clk?jk=07c5ec912d8cc3b7&bb=RjOpfypjXRWIAUZMJAwIweIOfUfeibiPchiXXIliVr0DDpRB3t6AVYElRUaeltbuPT7Kg5HD3sMz6hKMURh-69H8Vi565626rM_1QtwofpY%3D&xkcb=SoDE67M3EEV3NGWbAp0IbzkdCdPP&fccid=8c41bce32884422c&vjs=3
19,Dev Python/Django,Join | Creative Tech,,https://br.indeed.com/rc/clk?jk=ae747445e0280f66&bb=RjOpfypjXRWIAUZMJAwIwaNH2m4LflD39--bK2l1-4_mISyVD9icmPw2ztx9MRXQSD6OwZfkTD4nIfmWssrxBqSpDA0LfM7jfzYcnRht3W4%3D&xkcb=SoBK67M3EEV3NGWbAp0PbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
